straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
Francis Picabiastraat,11,,,Rotterdam,3059 RP,106,woonfunctie,Francis Picabiastraat 11   3059 RP Rotterdam
Narcissenveld,9,,,Castricum,1901 LH,77,woonfunctie,Narcissenveld 9   1901 LH Castricum
Vezelstraat,23,,,Reusel,5541 VN,125,woonfunctie,Vezelstraat 23   5541 VN Reusel
Hertespoor,14,,,Ede,6713 JD,146,woonfunctie,Hertespoor 14   6713 JD Ede
Heernisseweg,69,,,Goes,4461PS,93,woonfunctie,Heernisseweg 69   4461PS Goes
Nieuwenhovenseweg,7,,,Middelburg,4333 AP,159,woonfunctie,Nieuwenhovenseweg 7   4333 AP Middelburg
Karel Doormanstraat,9,,,Wieringerwerf,1771 AV,119,woonfunctie,Karel Doormanstraat 9   1771 AV Wieringerwerf
Doozemansteeg,1,,RD2,Collendoorn,7798 CH,30,logiesfunctie,Doozemansteeg 1  RD2 7798 CH Collendoorn
Monseigneur Kierkelspln,19,,,Baexem,6095 BK,1203,bijeenkomstfunctie,Monseigneur Kierkelspln 19   6095 BK Baexem
Burgemeester Rensstraat,51,,,Goirle,5051 CM,107,woonfunctie,Burgemeester Rensstraat 51   5051 CM Goirle
Prins Mauritsstraat,23,,,Middelburg,4332TV,76,woonfunctie,Prins Mauritsstraat 23   4332TV Middelburg
Adriaen Brouwerstraat,47,,,Boxmeer,5831VJ,185,woonfunctie,Adriaen Brouwerstraat 47   5831VJ Boxmeer
Getijmolenerf,119,,,Gouda,2807GK,121,woonfunctie,Getijmolenerf 119   2807GK Gouda
De Krijgsman,13,,,Uitgeest,1911KG,87,woonfunctie,De Krijgsman 13   1911KG Uitgeest
Sitwâl,3,,,Dokkum,9103 PA,186,woonfunctie,Sitwâl 3   9103 PA Dokkum
De Zes,5,,,Den Burg,1791EW,102,woonfunctie,De Zes 5   1791EW Den Burg
Statenweg,128,A,,Rotterdam,3039JM,147,winkelfunctie,Statenweg 128 A  3039JM Rotterdam
De Roterij,6,d,,Burgh-Haamstede,4328 BA,363,industriefunctie,De Roterij 6 d  4328 BA Burgh-Haamstede
Seine,12,A,,Amstelveen,1186NR,13,overige gebruiksfunctie,Seine 12 A  1186NR Amstelveen
Korenweg,1,a,,Nijverdal,7441CP,89,woonfunctie,Korenweg 1 a  7441CP Nijverdal
Daliënwaerd,35,,,'s-Hertogenbosch,5221KD,165,woonfunctie,Daliënwaerd 35   5221KD 's-Hertogenbosch
Kiebos,20,,,Warmenhuizen,1749 HB,160,woonfunctie,Kiebos 20   1749 HB Warmenhuizen
Louise Henriëttelaan,16,F,,Ede,6713MH,73,woonfunctie,Louise Henriëttelaan 16 F  6713MH Ede
Homberg,1308,,,Wijchen,6601ZT,159,woonfunctie,Homberg 1308   6601ZT Wijchen
Roggestraat,81,,,Putten,3882 GV,120,woonfunctie,Roggestraat 81   3882 GV Putten
Kerkstraat,56,C,,Nederweert,6031 CJ,114,bijeenkomstfunctie,Kerkstraat 56 C  6031 CJ Nederweert
Kleine Berg,24,,42,Eindhoven,5611JV,43,woonfunctie,Kleine Berg 24  42 5611JV Eindhoven
De Kiel,9,,,Hoogeveen,7908LB,84,woonfunctie,De Kiel 9   7908LB Hoogeveen
Oude Raadhuislaan,37,B,,Rotterdam,3054NN,116,woonfunctie,Oude Raadhuislaan 37 B  3054NN Rotterdam
Rijnstraat,12,,,Dordrecht,3313 GW,82,woonfunctie,Rijnstraat 12   3313 GW Dordrecht
Burgemeester van Nispen van Sevenaerstraat,41,,,Laren,1251KG,273,woonfunctie,Burgemeester van Nispen van Sevenaerstraat 41   1251KG Laren
Wim van Baaststraat,8,A,,Oisterwijk,5063CS,126,woonfunctie,Wim van Baaststraat 8 A  5063CS Oisterwijk
Maria van Bourgondiëstraat,12,,,Sittard,6137HP,148,woonfunctie,Maria van Bourgondiëstraat 12   6137HP Sittard
Hooglandse Kerkgracht,64,,,Leiden,2312 HV,47,woonfunctie,Hooglandse Kerkgracht 64   2312 HV Leiden
Rolduckerstraat,108,,,Kerkrade,6461VN,232,woonfunctie,Rolduckerstraat 108   6461VN Kerkrade
Torenstraat,14,,,Gorinchem,4201GS,99,woonfunctie,Torenstraat 14   4201GS Gorinchem
Staringstraat,13,,,Gemert,5421PH,101,woonfunctie,Staringstraat 13   5421PH Gemert
Roordaweg,8,,,Tinallinge,9954 TV,74,woonfunctie,Roordaweg 8   9954 TV Tinallinge
Verversgilde,9,,,Medemblik,1671LW,125,woonfunctie,Verversgilde 9   1671LW Medemblik
Sieboldstraat,13,,,Leiden,2315 HL,86,woonfunctie,Sieboldstraat 13   2315 HL Leiden
Hietweideweg,47,,,Twello,7391RA,100,woonfunctie,Hietweideweg 47   7391RA Twello
Hengmeng,112,,,'s-Hertogenbosch,5235JZ,127,woonfunctie,Hengmeng 112   5235JZ 's-Hertogenbosch
Wilhelminalaan,2,a,,Brakel,5306XC,76,woonfunctie,Wilhelminalaan 2 a  5306XC Brakel
Schutteheide,1,,452,Heel,6097HA,120,logiesfunctie,Schutteheide 1  452 6097HA Heel
Gaasbeekheem,18,,,Veenendaal,3907ND,135,woonfunctie,Gaasbeekheem 18   3907ND Veenendaal
Jean Monnetstraat,92,,,Heemskerk,1963KS,116,woonfunctie,Jean Monnetstraat 92   1963KS Heemskerk
Cuperstraat,40,,,Bemmel,6681AT,126,woonfunctie,Cuperstraat 40   6681AT Bemmel
Ireneweg,15,,,Kortenhoef,1241XX,69,woonfunctie,Ireneweg 15   1241XX Kortenhoef
Du Perronstraat,26,,,Rotterdam,3076HN,107,woonfunctie,Du Perronstraat 26   3076HN Rotterdam
Trancheeweg,7,R,443,Weert,6002 ST,77,logiesfunctie,Trancheeweg 7 R 443 6002 ST Weert
Generaal Spoorlaan,629,,,Rijswijk,2285 TG,87,woonfunctie,Generaal Spoorlaan 629   2285 TG Rijswijk
Frederik Hendrikstraat,72,,,Utrecht,3583 VP,170,woonfunctie,Frederik Hendrikstraat 72   3583 VP Utrecht
Koningsweg,59,,,Akersloot,1921AS,134,woonfunctie,Koningsweg 59   1921AS Akersloot
Voorstraat,78,,,Groot-Ammers,2964AL,96,woonfunctie,Voorstraat 78   2964AL Groot-Ammers
Geerten Gossaertstraat,22,,,Rotterdam,3069 WV,24,woonfunctie,Geerten Gossaertstraat 22   3069 WV Rotterdam
Schoolstraat,22,,,Westervelde,9337PC,226,woonfunctie,Schoolstraat 22   9337PC Westervelde
Brusselsestraat,32,,,Maastricht,6211PE,45,woonfunctie,Brusselsestraat 32   6211PE Maastricht
Professor Cobbenhagenlaan,11,,243,Tilburg,5037DA,22,woonfunctie,Professor Cobbenhagenlaan 11  243 5037DA Tilburg
Willem Molengraaffstraat,17,,1,Amsterdam,1063LK,65,woonfunctie,Willem Molengraaffstraat 17  1 1063LK Amsterdam
Sont,76,,,Hoofddorp,2133 HD,83,woonfunctie,Sont 76   2133 HD Hoofddorp
Sillenhoek,3,,,Leveroy,6091 PC,198,woonfunctie,Sillenhoek 3   6091 PC Leveroy
Weidesteenlaan,57,,,Zwolle,8042 NZ,83,woonfunctie,Weidesteenlaan 57   8042 NZ Zwolle
Groningensingel,141,,,Arnhem,6835 EG,139,woonfunctie,Groningensingel 141   6835 EG Arnhem
Hilhorststraat,10,,,Eemnes,3755 SV,150,woonfunctie,Hilhorststraat 10   3755 SV Eemnes
Linnenstraat,18,,,Borne,7621SZ,115,woonfunctie,Linnenstraat 18   7621SZ Borne
Kustweg,139,,,Delfzijl,9933AE,88,woonfunctie,Kustweg 139   9933AE Delfzijl
Spaarndammerdijk,7,P,,Amsterdam,1013 ZM,84,woonfunctie,Spaarndammerdijk 7 P  1013 ZM Amsterdam
Ten Dale,10,,,Steenwijkerwold,8341 RC,95,woonfunctie,Ten Dale 10   8341 RC Steenwijkerwold
Nieuwendammerdijk,87,,,Amsterdam,1025 LE,138,woonfunctie,Nieuwendammerdijk 87   1025 LE Amsterdam
Thorbeckestraat,4,,,Urmond,6129GP,116,woonfunctie,Thorbeckestraat 4   6129GP Urmond
Ceintuurbaan,9,P,,Rotterdam,3051 AE,80,woonfunctie,Ceintuurbaan 9 P  3051 AE Rotterdam
Ankerpad,2,,TR,Espel,8311PC,7,overige gebruiksfunctie,Ankerpad 2  TR 8311PC Espel
César Franckrode,52,,,Zoetermeer,2717BE,220,woonfunctie,César Franckrode 52   2717BE Zoetermeer
Beemdgras,39,,,Nijkerkerveen,3864 JA,168,woonfunctie,Beemdgras 39   3864 JA Nijkerkerveen
Schutterstraat,2,,,Rosmalen,5241 TS,95,woonfunctie,Schutterstraat 2   5241 TS Rosmalen
Heer Halewijnstraat,22,,,Oosterhout,4906EC,133,woonfunctie,Heer Halewijnstraat 22   4906EC Oosterhout
J.A. Alberdingk Thijmstraat,14,,,Hengelo,7552 HR,110,woonfunctie,J.A. Alberdingk Thijmstraat 14   7552 HR Hengelo
Wilhelminakade,323,,,Rotterdam,3072AP,146,woonfunctie,Wilhelminakade 323   3072AP Rotterdam
Educalaan,5,A,,Dronten,8251 GC,126,woonfunctie,Educalaan 5 A  8251 GC Dronten
Louis Couperusstraat,35,,3,Amsterdam,1064 CA,69,woonfunctie,Louis Couperusstraat 35  3 1064 CA Amsterdam
Penningkruid,70,,,Bodegraven,2412AN,140,woonfunctie,Penningkruid 70   2412AN Bodegraven
Tweede Weteringdwarsstraat,41,,1,Amsterdam,1017ST,82,woonfunctie,Tweede Weteringdwarsstraat 41  1 1017ST Amsterdam
Runderweide,18,,,Zoetermeer,2727HV,123,woonfunctie,Runderweide 18   2727HV Zoetermeer
Omegaplantsoen,489,,,Leiden,2321 KV,49,woonfunctie,Omegaplantsoen 489   2321 KV Leiden
Nicolaas Beetsstraat,150,,H,Amsterdam,1054 XV,109,woonfunctie,Nicolaas Beetsstraat 150  H 1054 XV Amsterdam
Wouwerdries,26,,,Chaam,4861 BK,124,woonfunctie,Wouwerdries 26   4861 BK Chaam
Beresteinlaan,803,,,'s-Gravenhage,2542JW,78,woonfunctie,Beresteinlaan 803   2542JW 's-Gravenhage
Bruggelaan,66,,,Appelscha,8426 BH,181,woonfunctie,Bruggelaan 66   8426 BH Appelscha
Camille Balystraat,11,E,,Amsterdam,1087VP,57,woonfunctie,Camille Balystraat 11 E  1087VP Amsterdam
Vletstraat,17,,,Yerseke,4401JN,132,woonfunctie,Vletstraat 17   4401JN Yerseke
Geelgorsstraat,8,,,Helmond,5702RC,101,woonfunctie,Geelgorsstraat 8   5702RC Helmond
't Harde,3,,,Haren Gn,9752VC,277,woonfunctie,'t Harde 3   9752VC Haren Gn
Munsterkerk,9,,,Dussen,4271 XA,98,bijeenkomstfunctie,Munsterkerk 9   4271 XA Dussen
Voorstraat,8,,,Heesbeen,5158NC,238,woonfunctie,Voorstraat 8   5158NC Heesbeen
Schenkeldijk,72,,,'s-Gravendeel,3295 EH,113,woonfunctie,Schenkeldijk 72   3295 EH 's-Gravendeel
Margo Antinkstraat,28,,,Leiden,2331HZ,113,woonfunctie,Margo Antinkstraat 28   2331HZ Leiden
Emmy Andriessestraat,562,,,Amsterdam,1087 NE,102,woonfunctie,Emmy Andriessestraat 562   1087 NE Amsterdam
Vlietskant,26,c,,Leerdam,4141 CL,80,woonfunctie,Vlietskant 26 c  4141 CL Leerdam
De Zandkuil,81,,,IJmuiden,1974RK,86,woonfunctie,De Zandkuil 81   1974RK IJmuiden
Haven,108,,,Volendam,1131 EV,210,bijeenkomstfunctie,Haven 108   1131 EV Volendam
Dokter van Kleefstraat,34,C,,Maastricht,6217JK,52,woonfunctie,Dokter van Kleefstraat 34 C  6217JK Maastricht
Catharina van Renneslaan,17,,,Hilversum,1217CW,256,woonfunctie,Catharina van Renneslaan 17   1217CW Hilversum
Jaltadaheerd,166,,,Groningen,9737 HL,90,woonfunctie,Jaltadaheerd 166   9737 HL Groningen
Bloedstraat,12,B,,Amsterdam,1012BS,1,overige gebruiksfunctie,Bloedstraat 12 B  1012BS Amsterdam
Johanna van Cuilenburgstraat,95,,,Zoetermeer,2722 BT,73,woonfunctie,Johanna van Cuilenburgstraat 95   2722 BT Zoetermeer
Nieuwe Ebbingestraat,102,b,,Groningen,9712NP,98,woonfunctie,Nieuwe Ebbingestraat 102 b  9712NP Groningen
Van Wevelinckhovenplein,44,,,Hardenberg,7772VJ,74,woonfunctie,Van Wevelinckhovenplein 44   7772VJ Hardenberg
van Hogendorpstraat,14,,,Hoogezand,9602WZ,119,woonfunctie,van Hogendorpstraat 14   9602WZ Hoogezand
Vondellaan,77,,401,Groningen,9721 LC,62,woonfunctie,Vondellaan 77  401 9721 LC Groningen
De Skalter,13,,,Gauw,8627 SN,156,woonfunctie,De Skalter 13   8627 SN Gauw
Reiger,138,,,Raalte,8103 AV,144,woonfunctie,Reiger 138   8103 AV Raalte
Waterviolier,5,,,Veenendaal,3907HK,178,woonfunctie,Waterviolier 5   3907HK Veenendaal
Berkenlaan,41,,,Nieuwe Pekela,9663ER,86,woonfunctie,Berkenlaan 41   9663ER Nieuwe Pekela
Huyekamp,35,,,Elst,6662 EK,107,woonfunctie,Huyekamp 35   6662 EK Elst
Bergselaan,217,C,,Rotterdam,3038CA,120,woonfunctie,Bergselaan 217 C  3038CA Rotterdam
Baden Powelllaan,9,b,,Tilburg,5042ZA,51,woonfunctie,Baden Powelllaan 9 b  5042ZA Tilburg
Molendijk,136,,,Klaaswaal,3286BK,156,woonfunctie,Molendijk 136   3286BK Klaaswaal
Franciscanerstraat,47,,,Kerkrade,6462 CL,155,woonfunctie,Franciscanerstraat 47   6462 CL Kerkrade
Claudius Prinsenlaan,128,A,,Breda,4818 CP,627,kantoorfunctie,Claudius Prinsenlaan 128 A  4818 CP Breda
Anneville-laan,58,,,Ulvenhout,4851CD,133,woonfunctie,Anneville-laan 58   4851CD Ulvenhout
Munkedyk,42,,,Gaastmeer,8611 JR,5,overige gebruiksfunctie,Munkedyk 42   8611 JR Gaastmeer
Leidsevaartweg,11,,GB83,Heemstede,2106 NA,21,industriefunctie,Leidsevaartweg 11  GB83 2106 NA Heemstede
Kiepheugte,24,,,Assen,9403GJ,87,woonfunctie,Kiepheugte 24   9403GJ Assen
Coleman Hawkinslaan,97,,,Beverwijk,1948 BL,107,woonfunctie,Coleman Hawkinslaan 97   1948 BL Beverwijk
Klimopstraat,3,,,Den Helder,1783 HM,76,woonfunctie,Klimopstraat 3   1783 HM Den Helder
Boerendanserdijk,70,A,,Zwolle,8024 AJ,175,woonfunctie,Boerendanserdijk 70 A  8024 AJ Zwolle
Arendsduin,23,,,Oegstgeest,2342 CS,191,woonfunctie,Arendsduin 23   2342 CS Oegstgeest
Grotestraat,254,b,,Nijverdal,7443BW,71,woonfunctie,Grotestraat 254 b  7443BW Nijverdal
Kasteellaan,10,,,Helmond,5701PR,87,woonfunctie,Kasteellaan 10   5701PR Helmond
Hindestraat,74,,,Nijmegen,6531KK,173,woonfunctie,Hindestraat 74   6531KK Nijmegen
Prins Clausstraat,9,,,Wehl,7031 XS,132,woonfunctie,Prins Clausstraat 9   7031 XS Wehl
Roos en Beeklaan,4,H,,Santpoort-Noord,2071TD,102,woonfunctie,Roos en Beeklaan 4 H  2071TD Santpoort-Noord
De Box,1,,,Vlijmen,5251DL,160,woonfunctie,De Box 1   5251DL Vlijmen
Prins Hendriklaan,155,X,032,Brunssum,,14,overige gebruiksfunctie,Prins Hendriklaan 155 X 032  Brunssum
Mauritsstraat,141,,,Rotterdam,3012 CH,58,woonfunctie,Mauritsstraat 141   3012 CH Rotterdam
Borssenburgstraat,17,,1,Amsterdam,1078VA,88,woonfunctie,Borssenburgstraat 17  1 1078VA Amsterdam
Kunstlaan,69,,,Opmeer,1716 DS,58,woonfunctie,Kunstlaan 69   1716 DS Opmeer
Kloosterlaan,3,,13,Hilversum,1216NH,89,woonfunctie,Kloosterlaan 3  13 1216NH Hilversum
Randveen,62,T,,'s-Gravenhage,2544RP,50,woonfunctie,Randveen 62 T  2544RP 's-Gravenhage
Hamsterborg,59,,,Almelo,7608GP,106,woonfunctie,Hamsterborg 59   7608GP Almelo
Sint Maartenlaan,36,,,Axel,4571CT,18,overige gebruiksfunctie,Sint Maartenlaan 36   4571CT Axel
Prinses Margrietstraat,96,,,Utrecht,3554 GJ,47,woonfunctie,Prinses Margrietstraat 96   3554 GJ Utrecht
Goudenregenstraat,25,,,Schipluiden,2636 BH,106,woonfunctie,Goudenregenstraat 25   2636 BH Schipluiden
Ketelven,28,,,Veghel,5464 PS,135,overige gebruiksfunctie,Ketelven 28   5464 PS Veghel
Orgellaan,32,,,Oldenzaal,7577LM,163,woonfunctie,Orgellaan 32   7577LM Oldenzaal
Echternachlaan,526,,,Eindhoven,5625KG,66,woonfunctie,Echternachlaan 526   5625KG Eindhoven
Kalverweg,11,,,Schoonrewoerd,4145 KS,70,woonfunctie,Kalverweg 11   4145 KS Schoonrewoerd
Populierenlaan,36,,,Krimpen aan den IJssel,2925CT,141,woonfunctie,Populierenlaan 36   2925CT Krimpen aan den IJssel
Nicolaas Damesstraat,13,,,Lisse,2161CS,68,woonfunctie,Nicolaas Damesstraat 13   2161CS Lisse
Hondsdrafzoom,13,,,Leiderdorp,2353 RM,124,woonfunctie,Hondsdrafzoom 13   2353 RM Leiderdorp
Veerpolderstraat,29,,21,Arnhem,6833BN,83,woonfunctie,Veerpolderstraat 29  21 6833BN Arnhem
Kockstraat,58,,,'s-Gravenhage,2571TH,65,woonfunctie,Kockstraat 58   2571TH 's-Gravenhage
Talmalaan,5,,,Zeist,3705VK,122,woonfunctie,Talmalaan 5   3705VK Zeist
van Reeslaan,93,,,Nieuwegein,3431BV,73,woonfunctie,van Reeslaan 93   3431BV Nieuwegein
Sterrenmos,26,,,Zwolle,8043MK,128,woonfunctie,Sterrenmos 26   8043MK Zwolle
Bogermanstraat,22,,,Balk,8561 BL,74,woonfunctie,Bogermanstraat 22   8561 BL Balk
Knardijk West,10,,,Harderwijk,3841 LA,2535,winkelfunctie,Knardijk West 10   3841 LA Harderwijk
Vrijlandtstraat,94,,,Pernis Rotterdam,3195VW,70,woonfunctie,Vrijlandtstraat 94   3195VW Pernis Rotterdam
Schapendijk,4,,,Holten,7451 KT,209,woonfunctie,Schapendijk 4   7451 KT Holten
Rhijnauwensingel,116,,,Rotterdam,3077EV,86,woonfunctie,Rhijnauwensingel 116   3077EV Rotterdam
Dijkmeent,99,,,Almere,1357ED,87,woonfunctie,Dijkmeent 99   1357ED Almere
Rustenburgerstraat,406,,3,Amsterdam,1072HH,52,woonfunctie,Rustenburgerstraat 406  3 1072HH Amsterdam
Drontermeer,48,,,Zoetermeer,2729 PJ,88,woonfunctie,Drontermeer 48   2729 PJ Zoetermeer
Turfstekershoeve,102,,,Apeldoorn,7326DR,97,woonfunctie,Turfstekershoeve 102   7326DR Apeldoorn
Rheastraat,5,,,Delfzijl,9933 CG,79,woonfunctie,Rheastraat 5   9933 CG Delfzijl
